City,Country,Continent,Housing,Cost of Living,Business Freedom,Education
Mexico City, Mexico,North America,8.36,9.244,5.761,1.713
Miami, Florida,North America,3.031,4.497,8.671,4.3945
Milan, Italy,Europe,5.1945,4.801,6.189666667,4.283
Milwaukee, Wisconsin,North America,6.1225,5.526,8.671,4.177
Minneapolis-Saint Paul, Minnesota,North America,4.7385,5.042,8.671,5.2745
Minsk, Belarus,Europe,9.4955,9.289,5.596333333,0.5
Montevideo, Uruguay,South America,8.183,6.197,7.944,1.69
Montreal, Canada,North America,7.392,5.948,8.966,7.299
Moscow, Russia,Europe,6.555,8.099,5.386666667,4.5725
Mumbai, India,Asia,8.124,9.825,3.618,0.5275
Munich, Germany,Europe,4.23,4.648,9.072333333,7.5545
Nairobi, Kenya,Africa,8.8505,8.432,3.246333333,0.5
Nantes, France,Europe,7.7225,5.021,8.088333333,4.4045
Naples, Italy,Europe,8.215,5.81,6.189666667,4.058
Nashville, Tennessee,North America,4.4545,5.742,8.671,4.733
New Orleans, Louisiana,North America,5.339,4.992,8.671,4.152
New York, New York,North America,1.0,2.342,8.671,8.0935
Nice, France,Europe,6.4985,4.475,8.088333333,4.4045
Nicosia, Cyprus,Europe,8.631,6.301,7.438666667,2.475
Oklahoma City, Oklahoma,North America,7.261,6.394,8.671,3.6245
Omaha, Nebraska,North America,7.0405,5.994,8.671,4.128
Orlando, Florida,North America,5.7785,5.284,8.671,3.6245
Osaka, Japan,Asia,7.8315,4.819,8.417666667,5.5895
Oslo, Norway,Europe,3.768,1.038,9.635333333,5.1445
Ottawa, Canada,North America,6.7005,6.027,8.966,5.4235
Oxford, United Kingdom,Europe,3.65,4.941,8.992,6.638
Paris, France,Europe,3.5835,3.664,8.088333333,7.085
Perth, Australia,Oceania,5.233,4.795,9.399666667,5.143
Philadelphia, Pennsylvania,North America,4.207,4.422,8.671,6.0285
Phoenix, Arizona,North America,6.533,6.208,8.671,4.591
Phuket, Thailand,Asia,8.823,7.602,5.603666667,1.187
Pittsburgh, Pennsylvania,North America,5.9635,4.795,8.671,6.5935
Portland, Oregon,North America,4.138,4.924,8.671,4.2155
Porto, Portugal,Europe,8.1095,7.422,8.238666667,4.449
Porto Alegre, Brazil,South America,9.221,8.12,2.781,1.017
Prague, Czechia,Europe,7.4305,7.569,6.212666667,4.238
Quebec, Canada,Europe,8.5175,6.037,8.966,5.42
Raleigh, North Carolina,North America,6.1285,5.61,8.671,7.1165
Reykjavik, Iceland,Europe,2.7715,1.0,9.36,4.057
Richmond, Virginia,North America,6.4395,5.949,8.671,3.6245
Riga, Latvia,Europe,8.933,7.329,7.363333333,4.091
Rio De Janeiro, Brazil,South America,8.32,7.751,4.036666667,1.0175
Riyadh, Saudi Arabia,Asia,8.6965,7.806,6.104,0.5035
Rochester, New York,North America,6.727,5.488,8.671,4.495
Rome, Italy,Europe,5.6025,5.323,6.189666667,4.157
Rotterdam, Netherlands,Europe,6.044,4.934,8.836666667,4.3065
Saint Petersburg, Russia,Europe,8.3605,8.673,5.547,4.282
Salt Lake City, Utah,North America,6.141,6.172,8.671,4.2805
San Antonio, Texas,North America,6.402,6.683,8.671,4.152
San Diego, California,North America,2.9335,5.156,8.671,5.4575
San Francisco Bay Area, California,North America,1.0,2.618,8.671,8.6245
San Jose, Costa Rica,North America,8.1645,6.728,5.949666667,1.2095
Santiago, Chile,South America,8.3815,7.237,7.765,2.6415
Santo Domingo, Dominican Republic,North America,9.289,8.076,4.413,0.5
Sao Paulo, Brazil,South America,8.316,7.823,2.781,1.104
Saskatoon, Canada,North America,7.1595,5.042,8.966,5.344
Seattle, Washington,North America,2.291,3.79,8.671,5.7145
Seoul, South Korea,Asia,6.1425,3.698,8.279333333,6.8655
Seville, Spain,Europe,8.0955,6.961,7.119666667,4.2595
Shanghai, China,Asia,5.744,7.179,3.895666667,5.6995
Singapore, Singapore,Asia,1.745,3.489,9.724666667,8.2465
Skopje, Macedonia,Europe,9.7405,9.11,6.882333333,0.5
Sofia, Bulgaria,Europe,9.306,8.55,5.295333333,2.0145
St. Louis, Missouri,North America,6.958,5.504,8.671,5.2715
Stockholm, Sweden,Europe,4.865,4.36,9.569,6.6675
Stuttgart, Germany,Europe,6.314,5.673,9.072333333,5.0505
Sydney, Australia,Oceania,1.9865,4.128,9.399666667,6.7255
Taipei, Taiwan,Asia,7.977,5.644,8.341666667,5.5895
Tallinn, Estonia,Europe,8.3765,6.931,8.129333333,5.355
Tampa Bay Area, Florida,North America,5.696,5.253,8.671,4.2805
Tampere, Finland,Europe,6.936,4.622,9.450666667,5.3895
Tartu, Estonia,Europe,8.961,7.47,8.129333333,5.4035
Tbilisi, Georgia,Europe,9.4905,9.765,7.863333333,0.8625
Tehran, Iran,Asia,8.303,9.544,4.342666667,0.51
Tel Aviv, Israel,Asia,4.91,4.37,6.79,3.7665
The Hague, Netherlands,Europe,6.053,4.653,8.836666667,4.3065
Thessaloniki, Greece,Europe,9.3775,6.6,6.169,3.1635
Tokyo, Japan,Asia,5.657,3.431,8.377666667,6.9805
Toronto, Canada,North America,4.66,5.271,8.966,7.6025
Toulouse, France,Europe,7.544,4.552,8.088333333,4.442
Tunis, Tunisia,Africa,9.968,9.998,6.621666667,0.5
Turin, Italy,Europe,8.0695,5.612,6.189666667,4.1015
Turku, Finland,Europe,7.534,5.07,9.450666667,5.3475
Uppsala, Sweden,Europe,7.16,5.442,9.569,5.2045
Utrecht, Netherlands,Europe,5.4665,4.604,8.836666667,5.5915
Valencia, Spain,Europe,8.1355,6.872,7.119666667,4.266
Vancouver, Canada,North America,4.0805,5.259,8.966,6.889
Victoria, Canada,North America,5.696,5.703,8.966,5.3815
Vienna, Austria,Europe,6.314,5.111,7.596,4.8545
Vilnius, Lithuania,Europe,8.621,7.576,7.600333333,3.7
Warsaw, Poland,Europe,7.8695,8.192,5.704333333,4.6685
Washington, District of Columbia,North America,1.2105,3.595,8.671,5.9685
Wellington, New Zealand,Oceania,5.1345,5.161,10.0,4.756
Winnipeg, Canada,North America,7.5525,5.882,8.966,5.344
Wroclaw, Poland,Europe,8.452,8.434,5.704333333,4.1615
Zagreb, Croatia,Europe,8.91,7.194,5.720333333,3.211
Zurich, Switzerland,Europe,1.473,1.0,8.888,7.2875
