City,Country,Continent,Business Freedom,Safety,Education,Economy,Tolerance
Cleveland, Ohio,North America,8.671,3.637,4.6185,6.5145,4.7755
Cluj-Napoca, Romania,Europe,5.681666667,9.4745,2.448,4.103,8.624
Cologne, Germany,Europe,9.072333333,6.6295,5.1035,5.3735,6.7115
Colorado Springs, Colorado,North America,8.671,5.3775,3.6245,6.5145,9.206
Columbus, Ohio,North America,8.671,5.2815,5.0475,6.5145,5.9215
Copenhagen, Denmark,Europe,9.94,9.1525,5.301,4.8865,9.0955
Cork, Ireland,Europe,8.345666667,8.8395,4.879,7.5145,8.6305
Curitiba, Brazil,South America,2.781,5.9465,1.0165,2.187,7.848
Dallas, Texas,North America,8.671,4.339,4.284,6.5145,5.294
Dar es Salaam, Tanzania,Africa,3.288666667,6.1005,0.0,5.5,2.7665
Delhi, India,Asia,3.618,6.4185,0.512,5.5565,3.116
Denver, Colorado,North America,8.671,5.371,3.6245,6.5145,7.8605
Des Moines, Iowa,North America,8.671,6.984,3.6245,6.5145,8.4765
Detroit, Michigan,North America,8.671,4.4615,5.8185,6.5145,3.678
Doha, Qatar,Asia,7.408333333,9.486,1.4335,9.39,5.0625
Dresden, Germany,Europe,9.072333333,8.464,5.1245,5.3735,7.369
Dubai, United Arab Emirates,Asia,8.037,9.172,2.28,7.886,5.4265
Dublin, Ireland,Europe,8.345666667,7.1215,5.6065,7.5145,7.328
Dusseldorf, Germany,Europe,9.072333333,8.166,4.3065,5.3735,7.8685
Edinburgh, United Kingdom,Europe,8.992,8.485,6.0925,5.438,7.922
Edmonton, Canada,North America,8.966,7.1175,5.948,5.8405,7.9255
Eindhoven, Netherlands,Europe,8.836666667,9.107,5.0805,5.053,9.3425
Eugene, Oregon,North America,8.671,6.1715,4.1735,6.5145,8.9695
Florence, Italy,Europe,6.189666667,7.9725,4.058,3.3625,6.7355
Florianopolis, Brazil,South America,2.781,6.525,1.0165,2.187,7.6375
Fort Collins, Colorado,North America,8.671,6.9355,4.1735,6.5145,9.48
Frankfurt, Germany,Europe,9.072333333,6.8375,5.2065,5.3735,7.0345
Fukuoka, Japan,Asia,8.389666667,9.945,5.5275,3.7235,7.259
Galway, Ireland,Europe,8.345666667,8.89,5.0075,7.5145,8.7005
Gdansk, Poland,Europe,5.704333333,8.0405,4.6615,4.7615,4.4785
Geneva, Switzerland,Europe,8.888,8.427,5.186,6.552,8.6205
Gibraltar, Gibraltar,Europe,0.0,9.3375,0.0,0.0,4.4265
Glasgow, United Kingdom,Europe,8.992,7.496,5.3065,5.438,6.943
Gothenburg, Sweden,Europe,9.569,7.296,4.7775,5.6945,6.3645
Grenoble, France,Europe,8.088333333,5.8875,4.549,4.2045,5.0505
Guadalajara, Mexico,North America,5.765,6.472,1.2095,3.5005,8.1575
Guatemala City, Guatemala,North America,4.617,6.139,0.0,3.805,7.157
Halifax, Canada,North America,8.966,7.1885,5.42,5.8405,7.8535
Hamburg, Germany,Europe,9.072333333,6.459,4.3065,5.3735,7.163
Hannover, Germany,Europe,9.072333333,7.3525,4.834,5.3735,7.266
Havana, Cuba,North America,1.643333333,8.6335,0.0,2.5495,8.7595
Helsinki, Finland,Europe,9.450666667,8.674,5.4545,3.921,7.5015
Ho Chi Minh City, Vietnam,Asia,4.101666667,6.7675,4.1165,4.8345,5.9435
Hong Kong, Hong Kong,Asia,9.294333333,9.3505,9.711,6.4825,7.152
Honolulu, Hawaii,North America,8.671,6.8565,4.2805,6.5145,7.774
Houston, Texas,North America,8.671,3.129,4.928,6.5145,5.34
Hyderabad, India,Asia,3.618,8.1265,0.0,5.5565,4.1325
Indianapolis, Indiana,North America,8.671,3.968,3.6245,6.5145,6.87
Innsbruck, Austria,Europe,7.596,8.273,4.33,4.663,8.4855
Istanbul, Turkey,Asia,5.948333333,6.8935,2.1525,4.0935,3.8925
Jacksonville, Florida,North America,8.671,3.8255,3.6245,6.5145,5.6785
Jakarta, Indonesia,Asia,4.028666667,7.0005,1.0275,4.6575,2.0665
Johannesburg, South Africa,Africa,4.732,5.1655,0.7585,2.768,3.6605
Kansas City, Missouri,North America,8.671,4.4225,3.6245,6.5145,5.0205
Karlsruhe, Germany,Europe,9.072333333,6.858,5.2075,5.3735,8.337
Kathmandu, Nepal,Asia,4.740333333,8.5055,0.0,4.496,9.129
Kiev, Ukraine,Europe,4.525333333,7.2555,0.5,1.2755,6.827
Kingston, Jamaica,North America,6.567666667,5.5275,0.0,1.8295,2.8435
Knoxville, Tennessee,North America,8.671,5.1295,4.212,6.5145,5.4025
Krakow, Poland,Europe,5.704333333,8.5215,4.6625,4.7615,4.592
Kuala Lumpur, Malaysia,Asia,7.597333333,5.881,2.527,6.339,1.528
Kyoto, Japan,Asia,8.389666667,10.0,6.241,3.7235,7.663
Lagos, Nigeria,Africa,3.255666667,5.9995,0.0,5.061,1.406
La Paz, Bolivia,South America,3.482,6.7505,0.0,4.536,6.293
Las Palmas de Gran Canaria, Spain,Europe,7.119666667,9.1545,3.759,4.296,9.7185
Las Vegas, Nevada,North America,8.671,2.385,3.6245,6.5145,7.275
Lausanne, Switzerland,Europe,8.888,8.0325,6.622,6.552,8.4535
Leeds, United Kingdom,Europe,8.992,7.731,4.9825,5.438,7.214
Leipzig, Germany,Europe,9.072333333,7.277,4.3065,5.3735,7.1935
Lille, France,Europe,8.088333333,6.942,4.3935,4.2045,7.203
Lima, Peru,South America,5.001666667,5.2905,0.5,3.1625,6.0805
Lisbon, Portugal,Europe,8.238666667,8.438,4.48,3.483,9.597
Liverpool, United Kingdom,Europe,8.992,7.7285,4.872,5.438,7.451
Ljubljana, Slovenia,Europe,7.676666667,8.953,4.852,4.7205,8.184
London, United Kingdom,Europe,8.992,7.2435,9.027,5.438,6.573
Los Angeles, California,North America,8.574666667,5.705,8.6245,6.5145,6.96
Louisville, Kentucky,North America,8.671,3.6175,3.6245,6.5145,5.7785
Luxembourg, Luxembourg,Europe,7.856666667,8.628,3.4795,7.473,8.8045
Lviv, Ukraine,Europe,4.525333333,7.822,0.0,1.2755,6.716
Lyon, France,Europe,8.088333333,7.1345,4.5805,4.2045,6.517
Madison, Wisconsin,North America,8.671,7.362,5.386,6.5145,7.9005
Madrid, Spain,Europe,7.119666667,7.7925,4.2915,4.296,7.665
Malaga, Spain,Europe,7.119666667,7.693,3.759,4.296,7.5005
Malmo, Sweden,Europe,9.569,6.598,3.893,5.6945,5.304
Managua, Nicaragua,North America,4.600333333,7.7745,0.0,3.9395,9.239
Manchester, United Kingdom,Europe,8.992,6.7725,5.652,5.438,6.677
Manila, Philippines,Asia,4.592333333,6.4345,0.0,5.0065,5.503
Marseille, France,Europe,8.088333333,5.252,4.442,4.2045,6.1735
Medellin, Colombia,South America,6.348666667,7.477,1.531,4.5945,9.302
Melbourne, Australia,Oceania,9.399666667,7.1325,6.2205,6.0695,7.0005
Memphis, Tennessee,North America,8.671,2.8585,3.6245,6.5145,4.0405
Mexico City, Mexico,North America,5.761,5.464,1.713,3.5005,7.089
Miami, Florida,North America,8.671,4.321,4.3945,6.5145,6.0435
Milan, Italy,Europe,6.189666667,7.378,4.283,3.3625,7.2195
Milwaukee, Wisconsin,North America,8.671,4.267,4.177,6.5145,4.844
Minneapolis-Saint Paul, Minnesota,North America,8.671,5.085,5.2745,6.5145,7.288
Minsk, Belarus,Europe,5.596333333,9.038,0.5,3.204,7.4215
Montevideo, Uruguay,South America,7.944,5.9735,1.69,4.416,9.71
Montreal, Canada,North America,8.966,7.822,7.299,5.8405,8.193
Moscow, Russia,Europe,5.386666667,7.478,4.5725,3.148,3.475
Mumbai, India,Asia,3.618,7.6185,0.5275,5.5565,3.839
Munich, Germany,Europe,9.072333333,9.049,7.5545,5.3735,8.4745
Nairobi, Kenya,Africa,3.246333333,5.972,0.5,4.377,2.579
Nantes, France,Europe,8.088333333,7.6355,4.4045,4.2045,7.0555
Naples, Italy,Europe,6.189666667,6.3895,4.058,3.3625,6.7535
Nashville, Tennessee,North America,8.671,5.078,4.733,6.5145,6.8075
New Orleans, Louisiana,North America,8.671,2.088,4.152,6.5145,5.124
New York, New York,North America,8.671,7.022,8.0935,6.5145,6.7125
Nice, France,Europe,8.088333333,7.234,4.4045,4.2045,6.4675
Nicosia, Cyprus,Europe,7.438666667,8.1025,2.475,2.9955,7.5055
Oklahoma City, Oklahoma,North America,8.671,4.6855,3.6245,6.5145,6.022
Omaha, Nebraska,North America,8.671,5.552,4.128,6.5145,5.801
Orlando, Florida,North America,8.671,4.134,3.6245,6.5145,5.784
Osaka, Japan,Asia,8.417666667,10.0,5.5895,3.7235,7.1895
Oslo, Norway,Europe,9.635333333,7.1065,5.1445,7.0735,7.03
Ottawa, Canada,North America,8.966,8.4475,5.4235,5.8405,8.6295
Oulu, Finland,Europe,9.450666667,8.4585,5.4545,3.921,8.329
Oxford, United Kingdom,Europe,8.992,8.5685,6.638,5.438,8.258
Palo Alto, California,North America,8.671,7.637,3.6245,6.5145,8.454
Panama, Panama,North America,6.208666667,6.976,0.0,6.0405,6.7855
Paris, France,Europe,8.088333333,6.2465,7.085,4.2045,5.579
Perth, Australia,Oceania,9.399666667,7.1045,5.143,6.0695,7.4705
Philadelphia, Pennsylvania,North America,8.671,3.133,6.0285,6.5145,5.8645
Phnom Penh, Cambodia,Asia,1.0,6.684,0.0,5.38,6.0305
Phoenix, Arizona,North America,8.671,2.583,4.591,6.5145,5.565
Phuket, Thailand,Asia,5.603666667,5.7285,1.187,2.387,5.156
Pittsburgh, Pennsylvania,North America,8.671,4.791,6.5935,6.5145,7.39
Portland, Maine,North America,8.671,6.3585,3.6245,6.5145,8.271
Portland, Oregon,North America,8.671,5.1805,4.2155,6.5145,8.1595
Porto, Portugal,Europe,8.238666667,7.7045,4.449,3.483,9.5735
Porto Alegre, Brazil,South America,2.781,5.2955,1.017,2.187,7.448
Prague, Czechia,Europe,6.212666667,8.6595,4.238,4.378,8.1985
Providence, Rhode Island,North America,8.671,6.846,5.3015,6.5145,7.49
Quebec, Canada,Europe,8.966,9.1595,5.42,5.8405,8.622
Quito, Ecuador,South America,3.021333333,6.969,0.0,3.8855,8.8265
Raleigh, North Carolina,North America,8.671,6.5225,7.1165,6.5145,7.562
Reykjavik, Iceland,Europe,9.36,8.658,4.057,5.283,9.565
Richmond, Virginia,North America,8.671,3.3765,3.6245,6.5145,7.151
Riga, Latvia,Europe,7.363333333,7.6255,4.091,4.0945,6.884
Rio De Janeiro, Brazil,South America,4.036666667,5.2955,1.0175,2.187,5.7715
Riyadh, Saudi Arabia,Asia,6.104,7.583,0.5035,7.042,2.909
Rochester, New York,North America,8.671,5.899,4.495,6.5145,5.9015
Rome, Italy,Europe,6.189666667,6.6045,4.157,3.3625,6.2215
Rotterdam, Netherlands,Europe,8.836666667,8.268,4.3065,5.053,8.2805
Saint Petersburg, Russia,Europe,5.547,7.793,4.282,3.148,4.338
Salt Lake City, Utah,North America,8.671,5.657,4.2805,6.5145,8.6225
San Antonio, Texas,North America,8.671,4.2165,4.152,6.5145,6.254
San Diego, California,North America,8.671,6.933,5.4575,6.5145,8.5395
San Francisco Bay Area, California,North America,8.671,5.7155,8.6245,6.5145,8.0125
San Jose, Costa Rica,North America,5.949666667,6.709,1.2095,4.0815,8.9385
San Juan, Puerto Rico,North America,3.173,5.121,0.0,0.0,3.66
San Luis Obispo, California,North America,8.671,8.058,3.6245,6.5145,9.666
San Salvador, El Salvador,North America,4.661333333,5.4025,0.0,2.659,6.1275
Santiago, Chile,South America,7.765,6.9645,2.6415,3.725,7.1715
Santo Domingo, Dominican Republic,North America,4.413,5.779,0.5,6.1135,5.1095
Sao Paulo, Brazil,South America,2.781,5.2955,1.104,2.187,6.8955
Sarajevo, Bosnia and Herzegovina,Europe,2.580333333,7.133,0.0,2.088,7.7365
Saskatoon, Canada,North America,8.966,6.638,5.344,5.8405,7.336
Seattle, Washington,North America,8.671,5.6365,5.7145,6.5145,8.0895
Seoul, South Korea,Asia,8.279333333,8.305,6.8655,5.561,4.484
Seville, Spain,Europe,7.119666667,8.9295,4.2595,4.296,9.265
Shanghai, China,Asia,3.895666667,7.2085,5.6995,6.103,2.741
Singapore, Singapore,Asia,9.724666667,9.9715,8.2465,7.4785,6.495
Skopje, Macedonia,Europe,6.882333333,7.2795,0.5,4.1225,4.2895
Sofia, Bulgaria,Europe,5.295333333,7.5505,2.0145,3.25,6.7405
St. Louis, Missouri,North America,8.671,3.8805,5.2715,6.5145,4.376
Stockholm, Sweden,Europe,9.569,6.8865,6.6675,5.6945,5.7195
Stuttgart, Germany,Europe,9.072333333,8.2695,5.0505,5.3735,7.5335
Sydney, Australia,Oceania,9.399666667,7.571,6.7255,6.0695,7.0325
Taipei, Taiwan,Asia,8.341666667,9.542,5.5895,6.6355,8.0435
Tallinn, Estonia,Europe,8.129333333,9.4255,5.355,4.185,7.8385
Tampa Bay Area, Florida,North America,8.671,4.7065,4.2805,6.5145,5.36
Tampere, Finland,Europe,9.450666667,8.689,5.3895,3.921,8.2905
Tartu, Estonia,Europe,8.129333333,9.3765,5.4035,4.185,7.483
Tashkent, Uzbekistan,Asia,5.175333333,8.9045,0.0,5.5375,6.1705
Tbilisi, Georgia,Europe,7.863333333,9.506,0.8625,4.2525,8.1975
Tehran, Iran,Asia,4.342666667,6.793,0.51,3.9435,4.2225
Tel Aviv, Israel,Asia,6.79,8.0065,3.7665,5.0265,5.516
The Hague, Netherlands,Europe,8.836666667,8.789,4.3065,5.053,8.553
Thessaloniki, Greece,Europe,6.169,7.992,3.1635,3.32,7.5235
Tokyo, Japan,Asia,8.377666667,10.0,6.9805,3.7235,7.1945
Toronto, Canada,North America,8.966,7.6935,7.6025,5.8405,7.928
Toulouse, France,Europe,8.088333333,6.967,4.442,4.2045,7.6335
Tunis, Tunisia,Africa,6.621666667,8.2915,0.5,3.092,4.727
Turin, Italy,Europe,6.189666667,6.252,4.1015,3.3625,5.777
Turku, Finland,Europe,9.450666667,9.1755,5.3475,3.921,7.7515
Uppsala, Sweden,Europe,9.569,7.85,5.2045,5.6945,6.9505
Utrecht, Netherlands,Europe,8.836666667,8.631,5.5915,5.053,8.5655
Valencia, Spain,Europe,7.119666667,7.7865,4.266,4.296,7.935
Valletta, Malta,Europe,5.377,8.518,2.8195,5.5395,7.563
Vancouver, Canada,North America,8.966,7.5695,6.889,5.8405,8.295
Victoria, Canada,North America,8.966,7.808,5.3815,5.8405,8.7825
Vienna, Austria,Europe,7.596,8.5965,4.8545,4.663,8.964
Vilnius, Lithuania,Europe,7.600333333,8.857,3.7,4.691,7.393
Warsaw, Poland,Europe,5.704333333,8.6995,4.6685,4.7615,4.636
Washington, District of Columbia,North America,8.671,2.1915,5.9685,6.5145,6.5495
Wellington, New Zealand,Oceania,10.0,8.223,4.756,5.5055,8.116
Winnipeg, Canada,North America,8.966,6.0155,5.344,5.8405,6.659
Wroclaw, Poland,Europe,5.704333333,8.1655,4.1615,4.7615,3.9045
Yerevan, Armenia,Asia,6.501,8.873,0.0,3.458,7.3465
Zagreb, Croatia,Europe,5.720333333,8.6575,3.211,2.2365,7.9545
Zurich, Switzerland,Europe,8.888,9.0665,7.2875,6.552,8.7845
